Symbol,Date,RMSE,Best_Fit,Upper_Fit,Current,ATH,ATH_Potential
BTC-USD,2021-12-12,6098.1815752070515,90.63324254118959,101.79592532878479,49220.46875,67566.828125,1.3727384123094115
1INCH-USD,2021-12-12,0.2966050704629354,-1318.969406093158,1622.9874737268813,2.526618003845215,5.674349784851074,2.24582812922863
AAVE-USD,2021-12-12,62.69550038811462,-219.13196516739166,266.31160529428723,179.22789001464844,632.2664794921875,3.527723723358635
ABBC-USD,2021-12-12,0.08162177442628137,-18.48010174970902,30.15135561866622,0.20071394741535187,1.2908899784088135,6.431491159592819
ACH-USD,2021-12-12,0.01344981706896267,9.133286525355722,329.62986543995765,0.06413643062114716,0.15684500336647034,2.4454900568594344
ACT-USD,2021-12-12,0.007769666559951641,127.11799156397063,22638.654204875475,0.00641416572034359,1.3813400268554688,215.3577077801903
ADA-BTC,2021-12-12,1.1487292555642472e-06,-202.11606439462392,870.3264848488022,2.7273694286122918e-05,5.999999848427251e-05,2.199921941443811
ADA-USD,2021-12-12,0.3218475340162639,75.83020250144183,1125.8642212550678,1.3396493196487427,2.9682390689849854,2.2156836311186723
ADK-USD,2021-12-12,0.4207214718157246,-146.4256445706921,1124.472555053062,0.7804133892059326,85.75920104980469,109.8894537638114
ADX-USD,2021-12-12,0.08036717597698363,81.91953985026663,284.7434720523281,0.5725848078727722,3.2708499431610107,5.712428793409046
AE-USD,2021-12-12,0.12241416383857828,117.50687270900224,1815.406033978694,0.12079539149999619,4.990970134735107,41.31755419440207
AEON-USD,2021-12-12,0.10679853225708384,269.52244404562646,3713.365055277029,0.2502273619174957,8.6012601852417,34.3737795872127
AION-USD,2021-12-12,0.06225693519831915,-326.31222285145196,14268.272269155736,0.157657191157341,10.523200035095215,66.74735201005275
ALGO-USD,2021-12-12,0.15118570907509327,101.44467279835791,112.8027179968563,1.5222972631454468,2.3794798851013184,1.5630849129852062
AMB-USD,2021-12-12,0.0059696221160853696,470.56010044215736,10156.686377386412,0.03344860300421715,1.6011899709701538,47.870159802138176
AMP1-USD,2021-12-12,0.005845667278570771,109.40038068232765,1227.514392236036,0.05123797804117203,0.10895399749279022,2.1264304654106523
ANKR-USD,2021-12-12,0.01782292971361632,125.29188685228152,821.260843353673,0.10532248765230179,0.18830500543117523,1.7878898384248323
ANT-USD,2021-12-12,0.6057900660402399,69.8192002013315,875.5104982840411,4.6771135330200195,13.09957504272461,2.800781924629953
APL-USD,2021-12-12,0.0001814048613886456,8.999057257591826,214.25151545050159,0.0024907507468014956,0.009209999814629555,3.6976802381597604
1INCH-USD,2021-12-12,0.2968510437025785,-1327.4694468735945,1624.0147635397896,2.5152151584625244,5.674349784851074,2.25600969593378
AAVE-USD,2021-12-12,62.7687146511886,-217.75727553612256,279.83994756179004,177.87306213378906,632.2664794921875,3.554593775512909
ABBC-USD,2021-12-12,0.08161600752172174,-17.675405780950914,35.264945011939666,0.20044299960136414,1.2908899784088135,6.440184895337339
ACH-USD,2021-12-12,0.013450408255446042,4.862579862161431,300.09651911627293,0.06409768015146255,0.15684500336647034,2.4469684861580987
ACT-USD,2021-12-12,0.007770115376799817,140.91354166402647,22948.62323452135,0.0064225997775793076,1.3813400268554688,215.07490341802037
ADA-BTC,2021-12-12,1.1494026355150217e-06,-193.92630328622,852.713926812384,2.735123416641727e-05,5.999999848427251e-05,2.1936852326006715
ADA-USD,2021-12-12,0.3217258196723213,75.20126403717894,1020.0219646649858,1.3419429063796997,2.9682390689849854,2.211896687164371
ADK-USD,2021-12-12,0.42010852011013405,-107.53882383451266,1110.6050703915391,0.7663756608963013,85.75920104980469,111.90230252028948
ADX-USD,2021-12-12,0.08049636343414983,83.36876321319917,299.58735305321716,0.5703567862510681,3.2708499431610107,5.734743623653843
AE-USD,2021-12-12,0.1223994961753781,111.10774584223293,2091.637515312935,0.11991240829229355,4.990970134735107,41.62179882643441
AEON-USD,2021-12-12,0.10670385967909042,259.63863600842257,3416.5416393644414,0.25377026200294495,8.6012601852417,33.893885427528474
AION-USD,2021-12-12,0.06228458130777629,-333.097567768129,16248.541949421795,0.1571701616048813,10.523200035095215,66.95418473609556
ALGO-USD,2021-12-12,0.15119000607806457,103.23582430807204,116.15858132180965,1.5222116708755493,2.3794798851013184,1.5631728035120658
AMB-USD,2021-12-12,0.006022761570097283,470.6223903773063,11101.641311513344,0.032877273857593536,1.6011899709701538,48.70202979436913
AMP1-USD,2021-12-12,0.005838184567241226,107.67314664763012,1101.470865808061,0.05140525847673416,0.10895399749279022,2.1195107411453327
ANKR-USD,2021-12-12,0.01785671557595008,123.66764472280884,887.1253946437724,0.10396119207143784,0.18830500543117523,1.8113009448927808
ANT-USD,2021-12-12,0.6108227220956828,79.28423131601396,912.4269797963967,4.4450249671936035,13.09957504272461,2.947019451950371
APL-USD,2021-12-12,0.00018205047283036704,9.177683170184858,213.52060404831025,0.002471782034263015,0.009209999814629555,3.7260566210788904
AR-USD,2021-12-12,10.181680107666285,201.03579893289395,238.4064020599117,40.061893463134766,86.2794418334961,2.1536536188158717
ARDR-USD,2021-12-12,0.05604393500157529,186.6373864725769,1902.3848962956943,0.24035337567329407,2.100980043411255,8.741212964144347
ARK-USD,2021-12-12,0.3376766546370726,261.8636415588029,1618.97453443924,1.2611359357833862,10.28600025177002,8.156139207452377
ARRR-USD,2021-12-12,0.17117557288009852,-155.70852237258885,644.2729768267398,1.1629562377929688,13.031026840209961,11.205087875825784
